doc_id,document_link,page_count,cleaned_filer_names,member_name,member_id,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,notes
500014712,https://www.documentcloud.org/documents/24144957-500014712,15,Tim Walsh,"Vargas, Juan",V000130,FALSE,CA,52,D,2015,Original,2015-10-11,2015-10-16,6,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany",international,NA
500014724,https://www.documentcloud.org/documents/24144945-500014724,15,Kristin Nicholson,"Langevin, James R.",L000559,FALSE,RI,2,D,2015,Original,2015-10-09,2015-10-16,8,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany",international,NA
500014733,https://www.documentcloud.org/documents/24144936-500014733,16,Erin Siefring,"Brat, Dave",B001290,FALSE,VA,7,R,2015,Original,2015-10-11,2015-10-16,6,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany",international,NA
500014745,https://www.documentcloud.org/documents/24144930-500014745,21,Catherine Skitsko,"Crenshaw, Ander",C001045,FALSE,FL,4,R,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014748,https://www.documentcloud.org/documents/24144925-500014748,18,Jennifer Cox,"Kildee, Daniel",K000380,FALSE,MI,8,D,2015,Original,2015-10-11,2015-10-16,6,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany",international,NA
500014754,https://www.documentcloud.org/documents/24144921-500014754,15,Richard Oliver Schwab,"Schweikert, David",S001183,FALSE,AZ,1,R,2015,Original,2015-10-11,2015-10-19,9,German Marshall Fund Of The United States;Robert Bosch Stiftung,"Berlin, Germany",international,NA
500014760,https://www.documentcloud.org/documents/24144915-500014760,11,Paul Behrends,"Rohrabacher, Dana",R000409,FALSE,CA,48,R,2015,Amendment,2015-10-14,2015-10-18,5,German Marshall Fund Of The United States,"Tokyo, Japan",international,NA
500014763,https://www.documentcloud.org/documents/24144912-500014763,21,Chris Esparza,"Chaffetz, Jason",C001076,FALSE,UT,3,R,2015,Original,2015-10-13,2015-10-16,4,Aspen Institute,"Antigua, Guatemala; Chichicastenango, Guatemala; Guatemala City, Guatemala; Quetzaltenango, Guatemala; Tecpan, Guatemala; Totonicapan, Guatemala",international,NA
500014791,https://www.documentcloud.org/documents/24144881-500014791,14,Janice Mays,"Levin, Sander",L000263,FALSE,MI,9,D,2015,Original,2015-10-29,2015-11-02,5,German Marshall Fund Of The United States,"Marrakech, Morocco",international,NA
500015053,https://www.documentcloud.org/documents/24144643-500015053,18,Amy Chang,"Royce, Edward",R000487,FALSE,CA,39,R,2016,Original,2016-01-13,2016-01-17,5,German Marshall Fund Of The United States,"Stockholm, Sweden",international,NA
